"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"1",7,"Female",9,1981,"Non-Black / Non-Hispanic",45070,8,43500,5,7,152,6,6,FALSE
"2",8,"Male",7,1982,"Hispanic",58483,9,55000,5,7,189,6,7,FALSE
"4",6,"Female",2,1981,"Hispanic",37012,10,65000,5,1,160,6,6,TRUE
"13",5,"Male",11,1984,"Hispanic",67533,7,20000,5,5,136,5,5,TRUE
"23",6,"Female",1,1983,"Hispanic",6423,5,55000,4,11,115,6,6,FALSE
"27",5,"Male",5,1981,"Black",9161,8,3500,5,6,165,5,7,TRUE
"28",7,"Female",11,1983,"Black",17058,6,32000,6,0,210,6,6,FALSE
"31",6,"Male",7,1982,"Non-Black / Non-Hispanic",62806,8,77000,5,9,136,5,8,FALSE
"32",7,"Female",7,1981,"Non-Black / Non-Hispanic",39949,8,121993,5,8,150,6,7,TRUE
"33",7,"Female",12,1980,"Non-Black / Non-Hispanic",96655,8,15000,5,4,138,3,7,TRUE
"35",7,"Male",1,1983,"Non-Black / Non-Hispanic",59270,9,42500,5,7,180,5,7,TRUE
"37",7,"Female",11,1980,"Non-Black / Non-Hispanic",82912,6,40000,5,6,130,5,6,FALSE
"38",6,"Female",9,1981,"Non-Black / Non-Hispanic",68753,8,50000,5,7,130,4,6,FALSE
"42",7,"Male",8,1983,"Non-Black / Non-Hispanic",44217,8,20000,5,9,210,6,7,FALSE
"43",6,"Female",10,1981,"Black",22965,9,28000,5,2,135,4,6,FALSE
"47",5,"Female",9,1982,"Black",46475,6,21000,5,0,162,6,3,FALSE
"48",7,"Female",7,1983,"Black",63769,7,28000,5,7,175,6,6,FALSE
"49",6,"Female",12,1982,"Black",79413,8,28600,5,5,203,6,10,TRUE
"51",6,"Male",6,1980,"Black",51057,7,28000,5,5,180,4,7,FALSE
"52",6,"Male",12,1983,"Black",29824,6,27000,5,9,260,3,4,TRUE
"54",8,"Female",12,1984,"Black",58541,4,8000,5,4,215,5,7,FALSE
"55",6,"Female",2,1981,"Hispanic",53241,8,31000,5,4,280,5,5,TRUE
"56",8,"Female",2,1982,"Non-Black / Non-Hispanic",96703,10,75000,5,5,170,4,7,TRUE
"58",5,"Male",11,1983,"Black",15235,8,53000,5,8,210,3,4,FALSE
"59",7,"Female",4,1981,"Black",56429,8,43000,5,10,300,6,6,FALSE
"60",8,"Male",1,1984,"Non-Black / Non-Hispanic",1355,5,7000,5,9,160,6,8,FALSE
"61",6,"Female",5,1983,"Black",44495,7,33000,5,2,185,5,4,FALSE
"62",6,"Male",3,1980,"Black",73429,8,35000,6,3,240,6,6,TRUE
"69",7,"Female",7,1981,"Black",81315,9,53000,5,6,125,6,8,FALSE
"75",7,"Male",1,1982,"Non-Black / Non-Hispanic",7556,7,30000,5,7,160,6,8,TRUE
"76",10,"Male",1,1982,"Non-Black / Non-Hispanic",34058,7,65000,5,7,165,4,7,TRUE
"82",7,"Male",7,1984,"Hispanic",69940,8,23000,6,1,210,4,6,TRUE
"86",7,"Female",10,1980,"Non-Black / Non-Hispanic",13722,9,35000,5,3,120,6,7,TRUE
"89",7,"Male",11,1981,"Non-Black / Non-Hispanic",78892,7,60000,5,11,190,5,6,TRUE
"93",8,"Male",9,1983,"Hispanic",5351,10,25000,5,5,130,4,7,TRUE
"97",7,"Male",6,1980,"Hispanic",58177,9,56000,6,0,160,5,7,FALSE
"100",5,"Female",1,1981,"Black",10086,8,0,5,5,170,4,7,TRUE
"104",7,"Female",11,1980,"Non-Black / Non-Hispanic",58482,9,70000,5,5,278,6,5,TRUE
"105",7,"Male",8,1983,"Non-Black / Non-Hispanic",74883,10,42000,5,6,215,6,7,TRUE
"107",7,"Female",8,1982,"Non-Black / Non-Hispanic",94837,6,60000,5,3,125,6,8,TRUE
"108",8,"Male",9,1984,"Non-Black / Non-Hispanic",83765,5,35000,6,0,188,6,8,TRUE
"109",6,"Female",3,1982,"Non-Black / Non-Hispanic",90866,5,46000,5,3,104,6,7,TRUE
"110",7,"Female",2,1984,"Non-Black / Non-Hispanic",43864,8,45000,5,9,155,6,8,TRUE
"122",6,"Male",6,1984,"Non-Black / Non-Hispanic",59605,8,25000,6,2,340,3,4,FALSE
"126",4,"Male",5,1981,"Non-Black / Non-Hispanic",35303,6,60000,5,8,145,1,0,TRUE
"127",8,"Female",3,1982,"Non-Black / Non-Hispanic",58706,9,45000,5,3,200,5,8,TRUE
"128",6,"Female",8,1982,"Non-Black / Non-Hispanic",71624,6,60000,5,3,160,6,8,FALSE
"132",8,"Male",2,1983,"Non-Black / Non-Hispanic",89334,10,52000,5,10,170,5,9,TRUE
"133",7,"Male",7,1982,"Non-Black / Non-Hispanic",83789,9,67500,5,9,167,6,7,TRUE
"135",8,"Male",4,1981,"Non-Black / Non-Hispanic",94833,8,48000,6,1,190,6,8,TRUE
"137",6,"Female",5,1980,"Non-Black / Non-Hispanic",63329,10,20000,5,6,151,3,6,TRUE
"143",8,"Male",8,1981,"Black",42098,8,45000,5,9,165,5,5,TRUE
"144",6,"Male",8,1982,"Black",62219,7,33000,6,2,195,5,6,FALSE
"145",6,"Male",4,1984,"Black",39585,8,42000,5,11,204,6,6,TRUE
"149",7,"Female",4,1983,"Black",5071,5,5800,5,8,200,1,8,FALSE
"151",7,"Female",1,1982,"Black",19749,7,37000,5,8,175,3,6,FALSE
"155",6,"Male",2,1980,"Non-Black / Non-Hispanic",99595,10,121993,5,10,180,6,6,FALSE
"156",7,"Male",11,1982,"Non-Black / Non-Hispanic",92692,7,30000,5,10,165,6,7,TRUE
"158",5,"Male",12,1984,"Hispanic",79949,9,56000,5,11,280,6,4,TRUE
"159",6,"Female",1,1980,"Hispanic",3049,10,32000,5,6,234,6,9,TRUE
"164",6,"Female",7,1981,"Non-Black / Non-Hispanic",50169,5,43500,5,4,125,6,6,TRUE
"165",7,"Male",4,1980,"Non-Black / Non-Hispanic",40421,10,121993,5,11,228,6,7,TRUE
"166",8,"Female",9,1982,"Non-Black / Non-Hispanic",83128,8,121993,5,6,142,6,8,TRUE
"168",8,"Male",1,1981,"Hispanic",31337,10,24000,6,1,165,4,6,TRUE
"169",8,"Female",1,1983,"Non-Black / Non-Hispanic",75582,7,10000,5,7,250,3,6,TRUE
"170",7,"Female",8,1984,"Non-Black / Non-Hispanic",61533,8,31000,5,2,230,3,7,FALSE
"171",6,"Female",7,1984,"Hispanic",87967,10,22000,5,4,120,4,6,TRUE
